initialCells,t (s),experimentalCells (1),initialGlucose (mol/m^3),initialLactate (mol/m^3),initialOxygen (O2 mmHg)
200000,410400,960877.4584,22,1.725,182.8
200000,410400,921400.4937,22,1.725,182.8
200000,410400,856894.3196,22,1.725,182.8
25000,21600,74273.67054,22,1.725,182.8
25000,21600,288141.1438,22,1.725,182.8
25000,21600,68372.4748,22,1.725,182.8
50000,21600,153227.5998,22,1.725,182.8
50000,21600,357734.5557,22,1.725,182.8
50000,21600,180088.2149,22,1.725,182.8
100000,21600,344100.7586,22,1.725,182.8
100000,21600,323344.8287,22,1.725,182.8
100000,21600,384188.1917,22,1.725,182.8
200000,21600,726457.5448,22,1.725,182.8
200000,21600,641195.4408,22,1.725,182.8
200000,21600,690032.9228,22,1.725,182.8
25000,64800,80785.33481,22,1.725,182.8
25000,64800,224855.9067,22,1.725,182.8
25000,64800,63692.21611,22,1.725,182.8
50000,64800,196774.3546,22,1.725,182.8
50000,64800,189652.2218,22,1.725,182.8
50000,64800,192908.0539,22,1.725,182.8
100000,64800,417153.4921,22,1.725,182.8
100000,64800,410234.8488,22,1.725,182.8
100000,64800,437705.9324,22,1.725,182.8
200000,64800,776719.4533,22,1.725,182.8
200000,64800,634073.308,22,1.725,182.8
200000,64800,874801.3963,22,1.725,182.8
25000,108000,437705.9324,22,1.725,182.8
25000,108000,90552.83121,22,1.725,182.8
25000,108000,367705.5416,22,1.725,182.8
50000,108000,240524.5989,22,1.725,182.8
50000,108000,317240.1435,22,1.725,182.8
50000,108000,246018.8156,22,1.725,182.8
100000,108000,533956.4699,22,1.725,182.8
100000,108000,468432.8482,22,1.725,182.8
100000,108000,673143.2936,22,1.725,182.8
200000,108000,955790.2207,22,1.725,182.8
200000,108000,732969.209,22,1.725,182.8
200000,108000,1058959.401,22,1.725,182.8
25000,151200,261280.5287,22,1.725,182.8
25000,151200,300554.0038,22,1.725,182.8
25000,151200,333112.3251,22,1.725,182.8
50000,151200,303402.8569,22,1.725,182.8
50000,151200,399856.8839,22,1.725,182.8
50000,151200,286309.7382,22,1.725,182.8
100000,151200,628375.6017,22,1.725,182.8
100000,151200,712416.7687,22,1.725,182.8
100000,151200,548607.7145,22,1.725,182.8
200000,151200,1361344.811,22,1.725,182.8
200000,151200,1226838.246,22,1.725,182.8
200000,151200,1074424.604,22,1.725,182.8
25000,194400,188227.7952,22,1.725,182.8
25000,194400,207355.809,22,1.725,182.8
25000,194400,161367.1801,22,1.725,182.8
50000,194400,398635.9468,22,1.725,182.8
50000,194400,426107.0305,22,1.725,182.8
50000,194400,416339.5341,22,1.725,182.8
100000,194400,859743.1727,22,1.725,182.8
100000,194400,915295.8085,22,1.725,182.8
100000,194400,792795.1245,22,1.725,182.8
200000,194400,998726.5069,22,1.725,182.8
200000,194400,1353815.699,22,1.725,182.8
200000,194400,1348321.482,22,1.725,182.8
25000,237600,266164.2769,22,1.725,182.8
25000,237600,568346.1968,22,1.725,182.8
25000,237600,234623.4031,22,1.725,182.8
50000,237600,485322.4774,22,1.725,182.8
50000,237600,686370.1116,22,1.725,182.8
50000,237600,677620.0628,22,1.725,182.8
100000,237600,824335.9983,22,1.725,182.8
100000,237600,720556.349,22,1.725,182.8
100000,237600,864219.9419,22,1.725,182.8
200000,237600,1033116.234,22,1.725,182.8
200000,237600,1361955.279,22,1.725,182.8
200000,237600,1231518.504,22,1.725,182.8
25000,280800,310728.4792,22,1.725,182.8
25000,280800,298722.5982,22,1.725,182.8
25000,280800,279798.074,22,1.725,182.8
50000,280800,611282.483,22,1.725,182.8
50000,280800,843464.012,22,1.725,182.8
50000,280800,610875.504,22,1.725,182.8
100000,280800,955179.7521,22,1.725,182.8
100000,280800,1162535.561,22,1.725,182.8
100000,280800,1413845.104,22,1.725,182.8
200000,280800,1662916.262,22,1.725,182.8
200000,280800,1558933.123,22,1.725,182.8
200000,280800,1565241.298,22,1.725,182.8
25000,324000,375845.1219,22,1.725,182.8
25000,324000,489188.778,22,1.725,182.8
25000,324000,467822.3797,22,1.725,182.8
50000,324000,892911.9626,22,1.725,182.8
50000,324000,836138.3897,22,1.725,182.8
50000,324000,862185.0468,22,1.725,182.8
100000,324000,978377.5561,22,1.725,182.8
100000,324000,853028.0189,22,1.725,182.8
100000,324000,1450269.726,22,1.725,182.8
200000,324000,1157041.344,22,1.725,182.8
200000,324000,1317187.587,22,1.725,182.8
200000,324000,1715416.555,22,1.725,182.8
25000,367200,445845.5128,22,1.725,182.8
25000,367200,555119.3787,22,1.725,182.8
25000,367200,447473.4288,22,1.725,182.8
50000,367200,928115.6475,22,1.725,182.8
50000,367200,910005.0813,22,1.725,182.8
50000,367200,737038.9992,22,1.725,182.8
100000,367200,1231111.525,22,1.725,182.8
100000,367200,1215239.344,22,1.725,182.8
100000,367200,1434804.523,22,1.725,182.8
200000,367200,1088261.891,22,1.725,182.8
200000,367200,1512334.026,22,1.725,182.8
200000,367200,1823672.974,22,1.725,182.8
25000,410400,730527.3349,22,1.725,182.8
25000,410400,692271.3074,22,1.725,182.8
25000,410400,530293.6587,22,1.725,182.8
50000,410400,652997.8322,22,1.725,182.8
50000,410400,1165791.393,22,1.725,182.8
50000,410400,1256140.735,22,1.725,182.8
100000,410400,1301111.916,22,1.725,182.8
100000,410400,1360937.832,22,1.725,182.8
100000,410400,1066081.534,22,1.725,182.8
200000,410400,1854806.868,22,1.725,182.8
200000,410400,1327362.063,22,1.725,182.8
200000,410400,1674515.164,22,1.725,182.8
